,Series1,Series2,Series3,Series4,Series5,Series6,Series7,Series8,Series9,Series10,Series11,Series12,Series13,Series14,Series15,Series16,Series17,Series18,Series19,Series20,Series21,Series22,Series23,Series24,Series25,Series26,Series27,Series28,Series29,Series30,Series31,Series32,Series33,Series34,Series35,Series36,Series37,Series38,Series39,Series40,Series41,Series42,Series43,Series44,Series45,Series46,Series47,Series48,Series49,Series50,Series51,Series52,Series53,Series54,Series55,Series56,Series57,Series58,Series59,Series60,Series61,Series62,Series63,Series64,Series65,Series66,Series67,Series68,Series69,Series70,Series71,Series72,Series73,Series74,Series75,Series76,Series77,Series78,Series79,Series80,Series81,Series82,Series83,Series84,Series85,Series86,Series87,Series88,Series89,Series90,Series91,Series92,Series93,Series94,Series95
1991-02-26,212.85184713195022,235.65968444880292,209.66604161644875,209.8503314238853,209.20845805835228,221.81700980362206,209.89790236151757,216.8135586686697,226.85252879675286,230.38068766574136,231.3999053064268,221.6456836076148,228.45718931200733,229.94357443712784,228.81512436351622,234.3678813424106,227.9393940571499,218.4591480309939,213.2066395991605,213.18224375117256,224.42325604081017,224.92972231481548,217.52631278076598,214.2001449711413,217.43296067679813,215.0349093082836,213.52818212684937,207.746870635275,218.7071277202052,211.15617963530153,208.41699623474847,216.16806976719405,219.1029273438218,228.30638319563528,227.67643864849882,224.61171151082206,236.18189405253045,232.38529764528022,226.09273590533058,236.11011969412277,227.03816252735544,229.87318871936634,224.52561760927574,223.42554053844597,215.48057181906566,219.41796003139265,214.78581158649814,225.68392694412807,216.46231671347385,217.93324882554415,218.837209151918,218.11393468236395,214.50410191128842,218.62357215669638,206.08935931359198,218.65960853218806,207.76925906614423,224.916439508348,224.3738638442354,222.87065366262738,216.1454753763976,228.19142876791082,221.86680723678518,256.576154513839,229.78311986562167,224.95035756288664,224.79390267317436,226.68066768240632,230.24604309480767,218.4030755664371,218.41308310086825,220.84590432731957,249.83294271195098,216.06522255600305,221.79117506980748,224.30833151451475,211.7434325814343,221.2733581269932,221.74650525556024,213.66480678406276,211.61303498510765,205.6558877044046,214.39578625832934,209.8464834174974,219.43782040059844,216.90134592996841,208.72265687321257,225.73449571455433,222.3306795943364,222.00165793466786,227.02635913973072,212.55437376549472,229.86316858057114,231.7899950855486,229.08498493928687
1991-02-27,209.27871823886443,215.78326483126352,213.94796209240533,212.37456482380813,216.69493429513494,228.03655511650535,212.20857129615158,215.44417110345861,235.5855954139929,226.41186317148671,238.34324260797237,216.20936366757783,256.1356457909326,228.80112848296835,232.87720395384497,219.99583978917906,220.4655945364569,220.52816929110182,219.7615156323645,220.7862379712192,216.35832051357298,220.9578144967753,217.89127268482946,218.7861387982828,216.9762039681633,208.650555583729,202.32216019537316,208.65197865636173,211.32997476578484,211.28348456947055,218.80674326705983,219.98227697180928,227.44504352380343,221.27154288005565,241.00726121294448,220.70669687577885,227.6616106653431,226.78837338479204,226.19820375233934,228.3052511150908,227.46629119906842,227.71574587899565,221.05705002995916,221.35550098759705,217.90838227850952,222.2690316690862,218.0770755223761,221.67463681022943,212.66485037817998,214.41958404653843,217.96379712291048,211.3920541054206,211.49487272991644,212.59237383137798,208.71503403561434,217.77620789405,210.3592475768608,243.3823897812506,221.3591070365523,218.03812557272198,209.09787403922044,217.29603386274172,216.66091747791228,226.98548057203604,220.23382321001876,228.20313280412978,229.52215561653998,230.1465776767804,231.79605981721093,219.14660150100102,225.84323377000933,222.40661893767145,212.6106248548684,218.59655123094433,221.07872026919836,219.70917214964555,217.48100573006192,232.80706273389256,212.1667690636415,214.61747090303868,209.49374049339735,210.7139248294983,211.05286699774712,207.23652342923694,218.62849115877356,214.62109008333746,211.13093974458127,221.66496356893853,213.68649351544616,221.74034453821847,232.8483184920883,224.26776719494225,228.02306249293454,229.80141429859435,231.6839252688175
1991-02-28,214.22994958160842,217.5907573691431,220.49559475549324,210.34607896571305,212.35120274743457,224.25597140247416,213.46238255118698,213.13081202561983,223.7106226485651,226.3295598975198,242.23223730599767,220.5439283120753,261.69375129504874,233.1507786991668,232.45642728886423,227.68330077188222,238.53501047241906,205.39526612633063,214.00107804795198,223.325032331826,217.9053565348406,231.62705612706947,210.5669452495834,226.5928530367057,209.7431035159378,210.68968162614698,207.89700071608823,208.30674195599235,219.6494996541936,213.1880817668731,210.52362603066814,216.89645606718466,224.37716527164386,223.5592246560835,224.68873262174557,227.95482694242034,229.213924916559,233.0143300125384,222.2897932324525,227.5921783873064,225.9248914689754,235.4450989136607,226.85251170521477,217.3711351356983,222.66942978033484,215.04499680517435,228.76715841382108,219.24641129762568,214.48726795154982,210.5015113666531,218.40473432931827,210.83658775876822,215.6881785957052,214.36998926895313,202.07117525386863,213.3185735349486,214.24957465852563,215.65721737523597,219.6271801651559,218.34582499360388,224.96235388638664,220.80701978194963,224.78352600262934,223.2877107650069,224.88697262776375,229.88874607572822,234.31424762635925,232.28831125381825,234.91098257630765,223.91063403912833,231.48220890708564,221.30739031456417,215.98357061067637,225.8993321884596,222.3535988355846,219.2448645447708,214.6240498580301,218.15625734701962,213.35039866675848,215.21549410928523,206.50190476837136,210.8272276029412,214.0635081296112,212.85551826515916,210.19722210125505,223.1161938416655,224.8668509472045,220.60285349272706,223.20848510694583,231.99545273130465,231.80187108722006,218.89040068096577,215.90191954199065,225.7459189521598,234.27672600809782
1991-03-01,219.0187954382163,206.27229515163884,215.72310603322242,215.92840493666617,213.6957928742882,219.57003099531204,215.06811109046194,212.27866139443816,227.40227253112278,226.65495248404824,227.68817093944392,224.8757777214463,231.49647391546873,233.34988114903126,231.16590467184554,224.05612272953337,217.971726192243,223.69422343969126,243.36793365005587,227.29903191984758,228.06920075842862,222.5540511552483,209.7609348162827,215.89160676623993,214.64343251810322,214.118804366539,206.27142129629652,219.0670409951708,220.18711813023057,218.205003037519,213.94808269695048,227.31307753905702,223.75265915500052,219.36951718969294,219.53386607284915,225.6744061965603,227.8947229906255,223.0034801310863,223.16914875857228,230.58710480507776,229.37466405539902,234.18885228405853,224.86658405293994,228.0999383450447,220.4274745988349,216.60508405389925,212.69083838769822,225.93400092683214,219.1405223362387,216.2941203320188,208.85323713223264,216.51449120970773,218.12479032545664,209.0579553465956,217.96528938511545,219.22121020777843,218.7064725089365,211.58208757125232,214.4534155742973,216.99729231844694,215.70156779011046,241.1183722465186,227.43951460471973,227.70216775217798,227.65669870519133,222.23275958770887,224.48261320947165,230.8216297055472,234.62388533157468,224.92044053316297,225.96325848943317,221.03582909109957,214.73731339234342,221.10691704188127,247.91269373543744,218.70608028396427,220.41089473784518,219.19017303811103,211.7909345902877,213.0767292861716,210.6029525517111,209.89202575612288,213.86025513779856,195.0010022419972,211.34166731499158,220.48507130473232,221.64417524883999,217.48203234801878,220.49164088836753,232.07822267656815,232.17503942804157,205.9124488005461,235.63534417092342,226.94673030167922,232.28318462581686
1991-03-02,221.42293332816607,231.54014489292305,213.70202980790611,222.67077127259597,220.63486383998773,216.44885937395367,214.28365192203043,220.0942058312285,225.2520053546986,227.7797155454359,222.77688534193337,229.35928809348357,227.6543649428601,232.44705132049683,231.35549344104018,219.94125405785903,224.44863643683968,224.1595228557736,212.90685444073677,217.96192582752985,215.1260459379525,204.99042368913763,222.0988312976461,217.61114449991757,213.05057798971427,220.20802983735666,218.83475578984957,217.6363306898473,215.7131230623299,217.050059010308,218.56307789082683,224.6693790436168,226.9234139416079,220.39620520109003,222.72774143677736,214.58031843577035,221.00236827618176,222.30176241830392,230.70080010591366,238.07840082146825,229.81801940273704,239.20588272716978,221.6370529575116,226.11634535149474,234.8511754495928,219.27308084093897,219.23433089922585,224.88008192979314,218.7844657726764,214.58084967905913,209.97776154498573,215.35610195891485,209.73541421172578,213.6650749963456,221.9143909104382,216.67600689303242,217.72421029155612,225.8512339365237,219.88952892830042,221.5741281657501,220.43812701798396,220.0548348732516,217.87261919949623,235.88826869688782,221.4844215655688,225.8951168132845,226.98475356996772,234.49336825512253,235.58412612526692,224.0276363619956,226.30487702524934,223.4400401971901,217.8495326090759,212.14132842040988,222.00105752661864,222.9265290749362,214.8581274395914,221.72069994163007,223.29982878916317,215.63756379583015,208.21906521240675,219.8880870202422,211.21464914047098,222.1292804351502,210.0405883212242,219.90262296213274,223.4532749094797,228.3652897570808,222.01298145235236,223.3553430402823,231.45311137903093,218.86381717868588,229.33374737909182,229.07132250329698,231.8014869393347
1991-03-03,218.79144585016556,215.54382438729914,210.3034675833708,215.2501627547821,217.5191672698257,224.70431659790222,213.48090857463416,221.31405650206622,225.1334225796094,232.73725363219302,221.28036338224734,224.4559043755374,227.93551580772188,231.368462122581,233.49090912480025,228.79207753137467,225.8805167510512,225.5239152598696,219.2521518318012,221.88744187451127,220.94343850015775,217.55982714569868,218.97988760326712,213.459560398766,201.70397813107814,212.91816094481328,217.1735901926123,225.67739609343596,217.50618130119997,218.317168224842,222.42683479013186,229.0259073968379,224.92847823157365,215.33352256637488,215.8255648786759,227.27969684419267,240.1462614232163,225.01112232842587,225.55487441183843,233.77506693334215,230.48220998628344,232.71567866758974,230.57103557986161,237.02821083763894,226.87761865109556,221.078355257445,217.8647200913784,217.68996739121624,216.35519057854643,211.19391019009637,211.14846797518928,210.02354770117122,204.46840373510398,218.20629450252022,217.09636031935614,210.43986252423392,217.82943713342908,218.46982033440025,215.91450566249662,221.67195270999287,211.68026551219688,220.1100186292092,224.88725307529225,222.9715121550517,218.63374662028178,226.0107329227731,228.93713995119106,235.18253960685118,232.95246888129026,220.82689416525324,223.6139097009151,221.62562465565972,218.75777039762437,217.27392540303146,216.97023248747482,215.90670772955588,216.71711208242223,213.37428468433802,213.24921877281653,204.06744995210497,214.87299277595974,209.69010431328323,211.87992945029922,217.73071777870518,216.45555096867994,218.29739475790913,223.05600955910455,216.68448713232812,228.3624343931357,219.43243293505273,230.8477701415416,221.4348495656018,224.15059348280573,228.79399021988613,237.2763971104356
1991-03-04,212.60748760784986,213.02664285022706,215.98729115668326,213.0796518515875,223.414618222105,215.6041637452824,219.13801704969958,221.38849175820337,221.53112290632745,226.54277872617382,234.50043675764738,233.66873969255118,225.1945930015397,228.88743480992977,233.68934918610668,230.5993946054508,221.7620226789553,220.83189421275515,220.2889892185921,222.5462920837339,217.7434000621296,220.78721132147848,227.52025650904966,217.93174651322332,215.12222358506887,207.48762742029578,217.92295173670786,212.6866890683153,217.0464881934611,217.45288700200032,224.88710682822338,219.86858074401368,223.6742789825599,223.06402839557342,224.97014273154068,219.7681370372224,229.83268590402025,233.0866451407242,223.24712259271624,234.92398094883202,231.27470665667082,234.64552150991287,226.63831344167298,232.18668537254243,220.2040636190392,224.4638960494073,225.35610612072472,218.08886459549828,218.6557527300851,218.94144267653678,213.1919966881818,220.60641518120948,206.98644084626997,219.27185472560834,211.9434346847249,222.85888861087824,214.74128115365022,228.99436608898466,215.55309208919755,227.01018761135757,218.6984796245558,223.052386503066,228.75124797037273,227.71971500791707,226.5323738219002,227.78479778210757,229.83216071375466,232.8161856447638,234.6360852367198,233.12536837290855,232.57380962299152,229.80338186168493,222.05377572334396,218.34700257776444,215.7426299948154,242.00509752029043,218.54565764445084,225.14532916959377,216.0581100221728,204.17042915672124,218.17305381316413,206.50670979951377,214.23354180532382,215.52497702758222,218.14344434152855,217.62864251405222,224.0961496009566,217.69422254625906,219.67273770999086,223.27719291082573,234.81793258541455,227.16594001968497,228.34214407976611,230.1109801061405,234.03737370115422
1991-03-05,218.39825813033005,209.77261130464558,210.62455315805013,214.9739714456507,213.98128566642524,225.57842956058875,222.5076994940369,218.75810866843017,221.89481033605463,233.40725417168466,228.1567327702078,230.6246507993053,230.84706793850253,232.69651651713733,229.8588373631954,220.84541426614533,231.90659697846635,217.3148404326382,221.13348126753453,225.83060881898695,220.23718768791164,226.0433269619872,226.2283615604309,216.57154299056361,220.09167023637784,215.05603606585834,221.34961726434668,218.49411716563623,216.86358394513366,211.15056079221966,230.63106126906573,222.8854952714777,221.68168412253354,219.60410584896556,258.2190234931537,223.61389710506992,223.55269050382617,225.1417770333463,226.87969850917315,231.81341117245685,234.7601967633827,237.81602668645738,235.8685300936856,228.3798714012384,222.65512599401924,237.69338596040348,229.87065896953706,221.33166499502698,219.22553169408388,216.51758491639467,214.39110483308073,219.69302811395747,217.95136046133638,215.123557178711,215.65549311343355,209.65455270892184,214.8117984228466,218.0840034684134,222.75634290119152,227.35088449639542,221.25772548358233,232.7622239263423,225.72377493675668,223.74806129805728,224.99718260273198,230.48081770880435,238.28892884511583,235.5696456691731,239.597168038614,226.55028408167,224.2160641035599,227.69628233957903,224.66436725233882,229.17437982967135,225.04437998346728,219.57806059123453,217.78770456697595,224.68935193125515,216.59919473043604,217.25486189912493,230.89593713785746,214.94644765509233,218.0615324799479,214.9946439354799,223.70842986398875,221.97269436179977,215.02672580446713,231.88305806294616,225.72687061496197,220.50057489603998,237.0697167542685,218.085826181531,228.13825716160542,234.54330158141607,236.64934407239357
1991-03-06,214.1023999182559,216.9366995035708,209.11801497704568,218.24581142660907,207.58807351945123,219.77553039568295,218.92638847031444,206.7455820072364,226.4268737422739,233.59858836743615,231.15870135263552,235.27215426628302,241.50320614676477,240.06784150169096,240.02925217166884,238.4316961351242,226.63350390787616,236.67953739491588,207.64536779688677,225.75645290187012,215.2925599113636,218.78969883408985,219.03708177552093,218.68517378396675,213.31381721597754,211.85111653742703,211.8888378739683,212.63729691634043,225.84760112745946,217.37519027878295,211.34489952744158,223.4175241691435,227.30860594261242,220.94734927564065,220.44494289807048,221.70489417309378,234.00863483503613,226.39868676996113,227.63721885405758,243.62694340264227,239.22879304792284,236.55481515086157,229.4241138358074,235.09848582142942,225.429052222375,232.26738206418565,221.87596861470996,212.45486523137214,218.84031812071808,215.49658803418427,207.3868387050367,220.422425596791,214.31248254502822,214.83456864838632,209.9306328410723,220.171079889634,217.1341672013568,218.82412616160576,217.80206770851836,219.72803132450957,226.35785394619484,222.02385713270306,225.97291836803254,232.17928080356418,225.19719668586032,226.0389623032911,232.1956690497937,241.9226192886107,237.04244367859795,234.13454605978905,225.0498849521618,225.48997847654445,223.45544333062077,219.92679180368722,217.53012168264527,219.90703570043377,204.48762437569664,219.44588279892707,216.41856149564646,188.30775256943656,212.67939734580364,196.25280684930067,210.43258340160708,215.70370377313193,220.07117961456248,220.80967724871343,214.93360088655405,223.26459739325622,229.4744132970574,222.92239352363438,236.2631941379631,223.37525679585372,227.2129993363659,236.8060454680917,240.40978931976673
1991-03-07,215.28089044635203,213.19426443730254,220.64630974150612,218.76035601204396,219.42757847867216,243.3305737153759,217.7788360374353,210.5915540906236,225.56020852008797,234.56944999424965,236.4617011166592,225.3012022409284,242.23791178481744,235.91224563310993,238.07764740375458,232.5499923395777,224.25637561173102,223.24811701529953,223.1927081607866,223.54844285583206,222.59978552823065,224.69073991962244,226.60373735554677,220.09477869853222,217.2396118087815,214.88920673057953,209.15302141400548,214.648541885734,217.77326284569128,217.55795940872633,223.59259585851433,236.3940151727836,213.56555857023554,219.8243378610041,217.04053933836232,225.34260580406254,243.55746834666783,232.6736294041801,232.23473836597006,232.10081211335122,235.63894867616733,240.72927216551207,235.07937764223468,231.20149001695805,223.96036065357586,228.1255783177359,245.43882974412958,222.85841222147053,229.6336667245317,216.51517744544213,209.7869757325908,222.08470371188756,209.2895708246699,210.1254461504025,216.02153340430488,212.87063172888472,208.01941916441,221.18990870684797,222.98810211374368,219.75463628861746,224.99589049727356,222.10743566197897,221.77170794700947,231.04902975946143,228.32484067450162,231.52474528900126,215.53379989144764,234.1254053082253,244.53667138909677,215.6629788335627,223.9996732655336,230.26585713549426,225.73212787452675,219.4625705928441,216.57235964702102,223.043949052155,213.0507504471214,213.84270064541107,222.51850274873192,211.2804657631206,211.05921225283558,209.67469408554564,203.56886919676296,214.71164798272284,216.8299858945551,218.30091054950333,223.3586438817005,224.18826032365394,231.83280411030694,224.83503069545108,233.81643131825714,233.0541193716513,231.5960118119118,237.62434491947383,242.16809971572366
